Name,Character Id,Level,Power,Stars,Red Stars,Gear Tier,Basic,Special,Ultimate,Passive,ISO Class,ISO Matrix,Striker,Fortifier,Healer,Raider,Skirmisher,ISO Health,ISO Damage,ISO Armor,ISO Focus,ISO Resist
Chaos Hurricane,ShieldSupport_Heal,37,15793,7,7,7,4,3,,2,healer,,,,1,,,1,1,1,1,1
Chaos Hurricane,SpiderMan,76,121030,7,7,14,7,6,6,4,skirmisher,,,,,,3,4,3,3,4,4
Chaos Hurricane,LukeCage,75,124837,7,8,14,7,6,6,4,fortifier,,,4,,,,5,4,5,5,5
Chaos Hurricane,ShieldDmg_AoE,40,18493,7,7,7,4,4,,2,,,,,,,,,,,,
Chaos Hurricane,Punisher,50,40904,7,7,9,5,5,5,3,skirmisher,,,,,,3,3,3,3,3,3
Chaos Hurricane,Elektra,70,100370,7,7,13,7,6,6,4,skirmisher,,,,,4,5,5,5,5,5,5
Chaos Hurricane,MercDmg_General,70,89453,7,7,13,6,6,,4,striker,,5,,,,,5,5,5,5,5
Chaos Hurricane,HandTank_Stealth,70,86969,7,7,13,6,6,,4,fortifier,,,5,,,,5,5,5,5,5
Chaos Hurricane,HandSupport_Heal,70,87958,7,7,13,6,6,,4,healer,,,,5,,,5,5,5,5,5
Chaos Hurricane,RavagerDmg_AoE,26,6736,7,7,5,3,2,,1,,,,,,,,,,,,
Chaos Hurricane,MercDmg_Single,23,4157,6,6,4,2,2,,1,,,,,,,,,,,,
Chaos Hurricane,JessicaJones,100,665224,7,10,18,7,7,7,5,skirmisher,purple,,9,,,10,,,,,
Chaos Hurricane,RavagerTank_Taunt,35,13759,7,7,6,4,3,,2,,,,,,,,,,,,
Chaos Hurricane,Crossbones,70,94266,7,7,13,6,6,6,4,fortifier,,,5,,,,5,5,5,5,5
Chaos Hurricane,WinterSoldier,100,513765,7,7,18,7,7,7,5,raider,purple,8,,,10,,,,,,
Chaos Hurricane,Wolverine,100,664371,7,10,18,7,7,7,5,raider,purple,,,,10,,,,,,
Chaos Hurricane,ShieldDmg_Defense,1,691,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Nebula,58,58381,7,8,10,6,6,5,4,,,,,,,,,,,,
Chaos Hurricane,MercTank_Debuff,70,86658,7,7,13,6,6,,4,fortifier,,,5,,,,5,5,5,5,5
Chaos Hurricane,ScarletWitch,100,532232,7,8,18,7,7,7,5,striker,purple,10,,,,,,,,,
Chaos Hurricane,HydraDmg_Buff,1,700,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,HandDmg_Bonus,50,35266,7,7,9,5,5,,3,,,,,,,,,,,,
Chaos Hurricane,ShieldSupport_Stealth,33,10948,7,7,6,3,3,,1,,,,,,,,,,,,
Chaos Hurricane,AntMan,85,198191,7,7,16,7,6,6,4,skirmisher,blue,,,,,8,3,3,3,3,3
Chaos Hurricane,RavagerSupport_Heal,23,5116,7,7,4,2,2,,1,,,,,,,,,,,,
Chaos Hurricane,Bullseye,50,38273,7,7,9,5,5,5,3,,,,,,,,,,,,
Chaos Hurricane,Hulk,98,488658,7,8,18,7,7,7,5,striker,purple,10,9,,,,,,,,
Chaos Hurricane,Hawkeye,75,144756,7,8,14,6,6,6,4,skirmisher,blue,,,,,10,5,5,5,5,5
Chaos Hurricane,AimSupport_Heal,6,775,6,6,2,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Minerva,96,372000,7,7,18,7,7,7,5,healer,purple,,,10,,,,,,,
Chaos Hurricane,HydraSupport_Heal,16,2054,7,7,3,2,1,,,,,,,,,,,,,,
Chaos Hurricane,Storm,97,435732,7,8,18,7,7,7,5,striker,purple,10,,,,,,,,,
Chaos Hurricane,KreeTank_Counter,47,27122,7,7,8,5,4,,3,,,,,,,,,,,,
Chaos Hurricane,MsMarvel,75,131084,7,7,14,7,6,7,5,skirmisher,blue,,,,,5,,,,,
Chaos Hurricane,IronFist,2,712,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,KreeSupport_HoT,33,11355,7,7,6,3,3,,1,,,,,,,,,,,,
Chaos Hurricane,Cable,59,53817,7,7,10,6,6,5,4,,,,,,,,,,,,
Chaos Hurricane,AimDmg_Offense,1,701,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Daredevil,2,714,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Venom,95,390831,7,8,18,7,6,6,4,striker,purple,10,,,,,,,,,
Chaos Hurricane,CaptainMarvel,100,597845,7,9,18,7,7,7,5,raider,purple,,5,,10,,,,,,
Chaos Hurricane,Korath,36,17726,7,7,7,4,3,3,2,,,,,,,,,,,,
Chaos Hurricane,KreeDmg_Speed,2,712,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Ronan,35,14516,7,7,6,4,3,3,2,,,,,,,,,,,,
Chaos Hurricane,Quake,48,37156,7,7,9,5,5,4,3,skirmisher,,,,,,3,3,3,3,3,3
Chaos Hurricane,HydraDmg_Single,1,571,6,6,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Vision,80,166146,7,7,15,7,6,6,5,skirmisher,blue,,3,,,8,4,4,4,3,3
Chaos Hurricane,Sabretooth,70,98702,7,7,13,6,6,6,4,raider,,,,,5,3,5,5,5,5,5
Chaos Hurricane,KreeDmg_Offense,1,670,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Mystique,80,153194,7,7,15,7,6,6,5,striker,blue,5,5,,,,,,,,
Chaos Hurricane,Loki,100,553436,7,8,18,7,7,7,5,raider,purple,,,,10,9,,,,,
Chaos Hurricane,BaronMordo,32,13564,7,8,6,3,3,3,1,,,,,,,,,,,,
Chaos Hurricane,HandDmg_Unbuff,29,7167,6,6,5,3,3,,1,,,,,,,,,,,,
Chaos Hurricane,Drax,60,67480,7,7,11,6,6,6,4,fortifier,,,3,,,,5,4,3,3,5
Chaos Hurricane,Gamora,70,100963,7,7,13,6,6,6,4,striker,,5,,,,,5,5,5,5,5
Chaos Hurricane,HandControl_HealBlock,72,93129,7,7,13,6,6,,4,skirmisher,,,3,,,5,5,5,5,5,5
Chaos Hurricane,Kingpin,50,43386,7,8,9,5,5,5,3,,,,,,,,,,,,
Chaos Hurricane,AimDmg_Speed,1,671,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,KreeControl_Assist,46,26120,7,7,8,5,4,,3,,,,,,,,,,,,
Chaos Hurricane,HydraTank_Taunt,1,571,6,6,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,RocketRaccoon,75,122915,7,8,14,6,6,6,4,skirmisher,blue,,,,,5,,,,,
Chaos Hurricane,Rescue,97,517540,7,9,18,7,7,7,5,healer,purple,,5,10,,,,,,,
Chaos Hurricane,NightNurse,43,25392,7,7,8,4,4,4,2,,,,,,,,,,,,
Chaos Hurricane,Yondu,36,18251,7,8,7,4,3,3,2,,,,,,,,,,,,
Chaos Hurricane,BlackPanther,42,29750,7,7,8,4,4,4,2,skirmisher,,,,,,5,5,5,5,5,5
Chaos Hurricane,AimTank_Taunt,4,843,7,7,2,1,1,,,,,,,,,,,,,,
Chaos Hurricane,HydraDmg_AoE,2,714,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,WarMachine,24,6694,7,7,5,2,2,2,1,,,,,,,,,,,,
Chaos Hurricane,Psylocke,100,527096,7,8,18,7,7,7,5,striker,purple,10,,,,10,,,,,
Chaos Hurricane,ShieldTank_Stun,1,572,6,6,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,UltSpiderMan,80,164203,7,7,15,7,6,7,5,striker,blue,5,,,,,,,,,
Chaos Hurricane,Mantis,66,95148,7,8,12,7,6,6,5,healer,,,,5,,,5,5,5,5,5
Chaos Hurricane,UltGreenGoblin,60,70138,7,8,11,6,6,6,4,,,,,,,,,,,,
Chaos Hurricane,Juggernaut,75,113444,7,7,14,6,6,6,4,fortifier,blue,,5,,,,,,,,
Chaos Hurricane,Pyro,60,62885,7,7,11,6,6,6,4,,,,,,,,,,,,
Chaos Hurricane,AmericaChavez,65,90806,7,9,12,6,6,6,4,,,,,,,,,,,,
Chaos Hurricane,MercSupport_Buffs,1,670,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,IronMan,90,254428,7,7,17,7,6,6,4,raider,blue,,,,9,,4,4,4,4,4
Chaos Hurricane,Thanos,39,21586,7,8,7,4,4,3,2,,,,,,,,,,,,
Chaos Hurricane,Wasp,90,220080,7,7,16,7,7,7,5,raider,blue,7,,,7,,2,2,2,2,2
Chaos Hurricane,Thing,85,203931,7,7,16,7,6,6,4,striker,blue,9,,,5,,4,4,4,5,4
Chaos Hurricane,Deadpool,100,608054,7,9,18,7,7,7,5,raider,purple,,,,10,,,,,,
Chaos Hurricane,Rhino,52,48032,7,7,9,5,5,5,3,fortifier,,,5,,,,5,5,5,5,5
Chaos Hurricane,Shocker,50,41637,7,7,9,5,5,5,3,,,,,,,,,,,,
Chaos Hurricane,ScientistSupreme,100,820038,7,7,19,7,7,7,5,healer,purple,,,11,,,2,1,2,1,1
Chaos Hurricane,Falcon,60,70918,7,7,11,6,6,6,4,striker,,4,,,,,5,5,5,4,4
Chaos Hurricane,DoctorStrange,100,836105,7,9,18,7,7,7,5,healer,purple,,,12,,,3,2,2,2,2
Chaos Hurricane,Okoye,96,410258,7,7,18,7,7,7,5,skirmisher,purple,10,,,,10,,,,,
Chaos Hurricane,HumanTorch,56,50531,7,7,10,6,5,5,4,,,,,,,,,,,,
Chaos Hurricane,Killmonger,71,106832,7,7,13,7,6,6,5,raider,,,,,5,,5,5,5,5,5
Chaos Hurricane,Crystal,92,270379,7,7,17,7,7,7,5,raider,blue,,,,9,,4,4,4,4,4
Chaos Hurricane,Hela,95,387243,7,7,18,7,6,6,5,raider,purple,,,10,10,,,,,,
Chaos Hurricane,Mysterio,80,178134,7,7,15,7,6,7,5,skirmisher,blue,,,,,8,3,4,4,4,4
Chaos Hurricane,MrFantastic,95,439500,7,10,18,6,6,6,4,skirmisher,purple,,,,,10,1,1,1,1,1
Chaos Hurricane,Groot,75,111451,7,7,14,6,6,6,4,healer,blue,,,5,,,,,,,
Chaos Hurricane,AimControl_Infect,2,714,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,Cyclops,100,589933,7,9,18,7,7,7,5,raider,purple,,,,10,,,,,,
Chaos Hurricane,MBaku,40,23394,7,7,7,4,4,4,2,fortifier,,,3,,,,3,3,3,3,3
Chaos Hurricane,Heimdall,70,99405,7,7,13,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
Chaos Hurricane,Toad,1,671,7,7,1,1,1,,,,,,,,,,,,,,
Chaos Hurricane,BlackWidow,96,441679,7,7,18,7,7,7,5,striker,purple,10,4,,,,,,,,
